code,single,multi_1,multi_2
'0TB04ZX','100','10','10.1'
'0TB08ZX','100','10','10.1'
'0TB14ZX','100','10','10.1'
'0TB18ZX','100','10','10.1'
'0TB34ZX','100','10','10.1'
'0TB38ZX','100','10','10.1'
'0TB44ZX','100','10','10.1'
'0TB48ZX','100','10','10.1'
'0TB64ZX','100','10','10.1'
'0TB68ZX','100','10','10.1'
'0TB74ZX','100','10','10.1'
'0TB78ZX','100','10','10.1'
'0TBB4ZX','100','10','10.1'
'0TBB4ZZ','100','10','10.1'
'0TBB8ZX','100','10','10.1'
'0TBC4ZX','100','10','10.1'
'0TBC4ZZ','100','10','10.1'
'0TBC8ZX','100','10','10.1'
'0TBD4ZX','100','10','10.1'
'0TBD7ZX','100','10','10.1'
'0TBD8ZX','100','10','10.1'
'0TJ54ZZ','100','10','10.1'
'0TJ57ZZ','100','10','10.1'
'0TJ58ZZ','100','10','10.1'
'0TJ94ZZ','100','10','10.1'
'0TJ97ZZ','100','10','10.1'
'0TJ98ZZ','100','10','10.1'
'0TJB4ZZ','100','10','10.1'
'0TJB7ZZ','100','10','10.1'
'0TJB8ZZ','100','10','10.1'
'0TJD4ZZ','100','10','10.1'
'0TJD7ZZ','100','10','10.1'
'0TJD8ZZ','100','10','10.1'
'0TJDXZZ','100','10','10.1'
'0T507ZZ','101','10','10.1'
'0T508ZZ','101','10','10.1'
'0T517ZZ','101','10','10.1'
'0T518ZZ','101','10','10.1'
'0T537ZZ','101','10','10.1'
'0T538ZZ','101','10','10.1'
'0T547ZZ','101','10','10.1'
'0T548ZZ','101','10','10.1'
'0T567ZZ','101','10','10.1'
'0T568ZZ','101','10','10.1'
'0T577ZZ','101','10','10.1'
'0T578ZZ','101','10','10.1'
'0T5B7ZZ','101','10','10.1'
'0T5B8ZZ','101','10','10.1'
'0T5C7ZZ','101','10','10.1'
'0T5C8ZZ','101','10','10.1'
'0TBB7ZZ','101','10','10.1'
'0TBB8ZZ','101','10','10.1'
'0TBC7ZZ','101','10','10.1'
'0TBC8ZZ','101','10','10.1'
'0TC37ZZ','101','10','10.1'
'0TC38ZZ','101','10','10.1'
'0TC47ZZ','101','10','10.1'
'0TC48ZZ','101','10','10.1'
'0TC67ZZ','101','10','10.1'
'0TC68ZZ','101','10','10.1'
'0TC77ZZ','101','10','10.1'
'0TC78ZZ','101','10','10.1'
'0TCB7ZZ','101','10','10.1'
'0TCB8ZZ','101','10','10.1'
'0TCC7ZZ','101','10','10.1'
'0TCC8ZZ','101','10','10.1'
'0TN07ZZ','101','10','10.1'
'0TN08ZZ','101','10','10.1'
'0TN17ZZ','101','10','10.1'
'0TN18ZZ','101','10','10.1'
'0TN37ZZ','101','10','10.1'
'0TN38ZZ','101','10','10.1'
'0TN47ZZ','101','10','10.1'
'0TN48ZZ','101','10','10.1'
'0TN67ZZ','101','10','10.1'
'0TN68ZZ','101','10','10.1'
'0TN77ZZ','101','10','10.1'
'0TN78ZZ','101','10','10.1'
'0TNB7ZZ','101','10','10.1'
'0TNB8ZZ','101','10','10.1'
'0TNC7ZZ','101','10','10.1'
'0TNC8ZZ','101','10','10.1'
'0T760DZ','102','10','10.1'
'0T763DZ','102','10','10.1'
'0T764DZ','102','10','10.1'
'0T767DZ','102','10','10.1'
'0T770DZ','102','10','10.1'
'0T773DZ','102','10','10.1'
