code,multi_1,multi_2,multi_3,multi_4
'09323','1','1.1','1.1.3',' '
'09324','1','1.1','1.1.3',' '
'09381','1','1.1','1.1.3',' '
'09382','1','1.1','1.1.3',' '
'09389','1','1.1','1.1.3',' '
'0939 ','1','1.1','1.1.3',' '
'0940 ','1','1.1','1.1.3',' '
'0941 ','1','1.1','1.1.3',' '
'0942 ','1','1.1','1.1.3',' '
'0943 ','1','1.1','1.1.3',' '
'09481','1','1.1','1.1.3',' '
'09482','1','1.1','1.1.3',' '
'09483','1','1.1','1.1.3',' '
'09484','1','1.1','1.1.3',' '
'09485','1','1.1','1.1.3',' '
'09486','1','1.1','1.1.3',' '
'09487','1','1.1','1.1.3',' '
'09489','1','1.1','1.1.3',' '
'0949 ','1','1.1','1.1.3',' '
'0950 ','1','1.1','1.1.3',' '
'0951 ','1','1.1','1.1.3',' '
'0952 ','1','1.1','1.1.3',' '
'0953 ','1','1.1','1.1.3',' '
'0954 ','1','1.1','1.1.3',' '
'0955 ','1','1.1','1.1.3',' '
'0956 ','1','1.1','1.1.3',' '
'0957 ','1','1.1','1.1.3',' '
'0958 ','1','1.1','1.1.3',' '
'0959 ','1','1.1','1.1.3',' '
'096  ','1','1.1','1.1.3',' '
'0970 ','1','1.1','1.1.3',' '
'0971 ','1','1.1','1.1.3',' '
'0979 ','1','1.1','1.1.3',' '
'0980 ','1','1.1','1.1.3',' '
'09810','1','1.1','1.1.3',' '
'09811','1','1.1','1.1.3',' '
'09812','1','1.1','1.1.3',' '
'09813','1','1.1','1.1.3',' '
'09814','1','1.1','1.1.3',' '
'09815','1','1.1','1.1.3',' '
'09816','1','1.1','1.1.3',' '
'09817','1','1.1','1.1.3',' '
'09819','1','1.1','1.1.3',' '
'0982 ','1','1.1','1.1.3',' '
'09830','1','1.1','1.1.3',' '
'09831','1','1.1','1.1.3',' '
'09832','1','1.1','1.1.3',' '
'09833','1','1.1','1.1.3',' '
'09834','1','1.1','1.1.3',' '
'09835','1','1.1','1.1.3',' '
'09836','1','1.1','1.1.3',' '
'09837','1','1.1','1.1.3',' '
'09839','1','1.1','1.1.3',' '
'09840','1','1.1','1.1.3',' '
'09841','1','1.1','1.1.3',' '
'09842','1','1.1','1.1.3',' '
'09843','1','1.1','1.1.3',' '
'09849','1','1.1','1.1.3',' '
'09850','1','1.1','1.1.3',' '
'09851','1','1.1','1.1.3',' '
'09852','1','1.1','1.1.3',' '
'09853','1','1.1','1.1.3',' '
'09859','1','1.1','1.1.3',' '
'0986 ','1','1.1','1.1.3',' '
'0987 ','1','1.1','1.1.3',' '
'09881','1','1.1','1.1.3',' '
'09882','1','1.1','1.1.3',' '
'09883','1','1.1','1.1.3',' '
'09884','1','1.1','1.1.3',' '
'09885','1','1.1','1.1.3',' '
'09886','1','1.1','1.1.3',' '
'09889','1','1.1','1.1.3',' '
'0990 ','1','1.1','1.1.3',' '
'0991 ','1','1.1','1.1.3',' '
'0992 ','1','1.1','1.1.3',' '
'0993 ','1','1.1','1.1.3',' '
'0994 ','1','1.1','1.1.3',' '
'09940','1','1.1','1.1.3',' '
'09941','1','1.1','1.1.3',' '
'09949','1','1.1','1.1.3',' '
'09950','1','1.1','1.1.3',' '
'09951','1','1.1','1.1.3',' '
'09952','1','1.1','1.1.3',' '
'09953','1','1.1','1.1.3',' '
'09954','1','1.1','1.1.3',' '
'09955','1','1.1','1.1.3',' '
'09956','1','1.1','1.1.3',' '
'09959','1','1.1','1.1.3',' '
'0998 ','1','1.1','1.1.3',' '
'0999 ','1','1.1','1.1.3',' '
'79505','1','1.1','1.1.3',' '
'79515','1','1.1','1.1.3',' '
'79519','1','1.1','1.1.3',' '
'79675','1','1.1','1.1.3',' '
'79679','1','1.1','1.1.3',' '
'0200 ','1','1.1','1.1.4',' '
'0208 ','1','1.1','1.1.4',' '
'0209 ','1','1.1','1.1.4',' '
'0218 ','1','1.1','1.1.4',' '
'0219 ','1','1.1','1.1.4',' '
